username,14-Nov,15-Nov,16-Nov,17-Nov,18-Nov,19-Nov,20-Nov,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,01-Dec,02-Dec,03-Dec,04-Dec,05-Dec,06-Dec,07-Dec,08-Dec,09-Dec,10-Dec,11-Dec,12-Dec,13-Dec
igormezentsev,2585,2585,2587,2587,2595,2595,2595,2595,2595,2595,2595,2595,2595,2600,2603,2606,2606,2606,2606,2606,2610,2610,2610,2610,2618,2618,2618,2618,2618,2618
PlemSovhoz,2584,2593,2593,2593,2593,2593,2593,2593,2596,2596,2596,2596,2596,2583,2583,2590,2590,2590,2590,2590,2590,2590,2591,2591,2591,2591,2591,2591,2589,2589
MW1966,2462,2462,2462,2459,2459,2459,2459,2459,2481,2481,2495,2495,2495,2495,2495,2496,2496,2496,2496,2496,2496,2496,2498,2498,2526,2526,2526,2526,2526,2526
Vlad_Lazarev79,2485,2485,2493,2493,2493,2493,2493,2474,2480,2484,2484,2484,2484,2484,2487,2487,2487,2487,2487,2487,2487,2487,2487,2484,2494,2494,2494,2494,2498,2498
zwenna,2461,2478,2478,2478,2478,2478,2478,2478,2460,2460,2460,2460,2460,2460,2460,2461,2461,2461,2461,2461,2461,2461,2469,2469,2469,2469,2469,2469,2469,2469
Tempest_Dragon,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332,2449,2460,2460,2460,2460,2460,2460,2460
Konnov_Oleg,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2452,2447,2447,2447,2452,2452,2452,2452,2452,2452,2452,2453,2453,2453,2453,2453,2453,2453,2453
OjaiJoao,2413,2413,2413,2424,2412,2412,2412,2417,2420,2420,2428,2430,2430,2440,2444,2447,2445,2435,2443,2443,2443,2447,2447,2447,2447,2452,2452,2452,2452,2452
josedavid321,2436,2436,2436,2416,2416,2416,2416,2416,2416,2424,2424,2424,2424,2424,2424,2424,2431,2431,2431,2431,2431,2431,2431,2431,2438,2450,2450,2450,2450,2450
Art-Vega,2448,2458,2458,2458,2458,2458,2458,2458,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2437,2443,2443,2443,2443,2443,2443,2443,2443
Thorwald5,2444,2430,2436,2436,2440,2440,2427,2442,2448,2448,2453,2440,2443,2443,2450,2450,2432,2439,2439,2439,2439,2442,2445,2445,2445,2431,2431,2431,2429,2429
gek76,2447,2444,2444,2455,2455,2455,2455,2460,2449,2449,2459,2459,2459,2459,2459,2463,2463,2458,2458,2458,2458,2458,2431,2431,2428,2428,2428,2428,2428,2428
Truemasterme,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419,2420,2420,2420,2420,2420,2420,2420,2420,2428,2428,2428,2428,2428,2428,2428,2428
Schemato,2410,2411,2419,2412,2417,2419,2419,2417,2414,2417,2410,2413,2422,2422,2419,2419,2419,2422,2422,2422,2422,2422,2422,2426,2430,2425,2428,2422,2421,2421
Bestfiercechess,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2407,2411
ChessTheory64,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433,2432,2432,2432,2432,2432,2432,2423,2423,2406,2406,2406,2413,2413,2399,2399,2399
